analysis_type,policy,date,final_vs_original_non_emergency_yuan,sequential_revision_non_emergency_yuan,difference_yuan
fixed existing policy trajectory repricing,C0,2025-12-06,24106.304423361154,24106.304423361154,0.0
fixed existing policy trajectory repricing,C0,2025-12-07,60298.95349172046,60298.95349172046,0.0
fixed existing policy trajectory repricing,C0,2025-12-08,66530.2877961187,66530.2877961187,0.0
fixed existing policy trajectory repricing,C0,2025-12-09,65916.7443637644,65916.7443637644,0.0
fixed existing policy trajectory repricing,C0,2025-12-10,61673.21594910382,61673.21594910382,0.0
fixed existing policy trajectory repricing,C0,2025-12-11,65642.16505439613,65642.16505439613,0.0
fixed existing policy trajectory repricing,C0,2025-12-12,28704.3022194759,28704.3022194759,0.0
fixed existing policy trajectory repricing,C0,2025-12-13,28765.519871637425,28765.519871637425,0.0
fixed existing policy trajectory repricing,C0,2025-12-14,61117.320326131885,61117.320326131885,0.0
fixed existing policy trajectory repricing,C0,2025-12-15,60984.54267967067,60984.54267967067,0.0
fixed existing policy trajectory repricing,C0,2025-12-16,67604.66238728267,67604.66238728267,0.0
fixed existing policy trajectory repricing,C0,2025-12-17,66155.30466375864,66155.30466375864,0.0
fixed existing policy trajectory repricing,C0,2025-12-18,62185.57006774248,62185.57006774248,0.0
fixed existing policy trajectory repricing,C0,2025-12-19,29261.12915624069,29261.12915624069,0.0
fixed existing policy trajectory repricing,C0,2025-12-20,27625.22316699413,27625.22316699413,0.0
fixed existing policy trajectory repricing,C0,2025-12-21,63113.52463095634,63113.52463095634,0.0
fixed existing policy trajectory repricing,C0,2025-12-22,64294.40164462067,64294.40164462067,0.0
fixed existing policy trajectory repricing,C0,2025-12-23,63172.01801949336,63172.01801949336,0.0
fixed existing policy trajectory repricing,C0,2025-12-24,62025.939578162455,62025.939578162455,0.0
fixed existing policy trajectory repricing,C0,2025-12-25,59920.73039834251,59920.73039834251,0.0
fixed existing policy trajectory repricing,C0,2025-12-26,26062.758375513116,26062.758375513116,0.0
fixed existing policy trajectory repricing,C0,2025-12-27,28027.049559313866,28027.049559313866,0.0
fixed existing policy trajectory repricing,C0,2025-12-28,63496.58615640953,63496.58615640953,0.0
fixed existing policy trajectory repricing,C0,2025-12-29,62074.11758192355,62074.11758192355,0.0
fixed existing policy trajectory repricing,C0,2025-12-30,64202.106995497605,64202.106995497605,0.0
fixed existing policy trajectory repricing,C0,2025-12-31,65189.09798307273,65189.09798307273,0.0
fixed existing policy trajectory repricing,C1,2025-02-01,23015.71526464124,23015.71526464124,0.0
fixed existing policy trajectory repricing,C1,2025-02-02,64840.42400095121,64840.42400095121,0.0
fixed existing policy trajectory repricing,C1,2025-02-03,66899.02269067778,66899.02269067778,0.0
fixed existing policy trajectory repricing,C1,2025-02-04,65775.72092131621,65775.72092131621,0.0
fixed existing policy trajectory repricing,C1,2025-02-05,60891.49589105022,60891.49589105022,0.0
fixed existing policy trajectory repricing,C1,2025-02-06,64570.6805028747,64570.6805028747,0.0
fixed existing policy trajectory repricing,C1,2025-02-07,30867.07424657381,30867.07424657381,0.0
fixed existing policy trajectory repricing,C1,2025-02-08,22689.139119572385,22689.139119572385,0.0
fixed existing policy trajectory repricing,C1,2025-02-09,59756.35669093377,59756.35669093377,0.0
fixed existing policy trajectory repricing,C1,2025-02-10,58412.62017220976,58412.62017220976,0.0
fixed existing policy trajectory repricing,C1,2025-02-11,53710.3113430686,53710.3113430686,0.0
fixed existing policy trajectory repricing,C1,2025-02-12,53920.95996245927,53920.95996245927,0.0
fixed existing policy trajectory repricing,C1,2025-02-13,50615.90264750629,50615.90264750629,0.0
fixed existing policy trajectory repricing,C1,2025-02-14,19774.250126874693,19774.250126874693,0.0
fixed existing policy trajectory repricing,C1,2025-02-15,22757.75874842943,22757.75874842943,0.0
fixed existing policy trajectory repricing,C1,2025-02-16,60414.17670975914,60414.17670975914,0.0
fixed existing policy trajectory repricing,C1,2025-02-17,55222.64753202977,55222.64753202977,0.0
fixed existing policy trajectory repricing,C1,2025-02-18,48588.82172168332,48588.82172168332,0.0
fixed existing policy trajectory repricing,C1,2025-02-19,47458.26088510193,47458.26088510193,0.0
fixed existing policy trajectory repricing,C1,2025-02-20,50395.32327519231,50395.32327519231,0.0
fixed existing policy trajectory repricing,C1,2025-02-21,18273.06604032948,18273.06604032948,0.0
fixed existing policy trajectory repricing,C1,2025-02-22,22820.45194437992,22820.45194437992,0.0
fixed existing policy trajectory repricing,C1,2025-02-23,47986.25894818277,47986.25894818277,0.0
fixed existing policy trajectory repricing,C1,2025-02-24,47414.47239339375,47414.47239339375,0.0
fixed existing policy trajectory repricing,C1,2025-02-25,52679.28357510974,52679.28357510974,0.0
fixed existing policy trajectory repricing,C1,2025-02-26,44139.36416437451,44139.36416437451,0.0
fixed existing policy trajectory repricing,C1,2025-02-27,45383.003735363214,45383.003735363214,0.0
fixed existing policy trajectory repricing,C1,2025-02-28,17774.330603746264,17774.330603746264,0.0
fixed existing policy trajectory repricing,C1,2025-03-01,24047.696215832773,24047.696215832773,0.0
fixed existing policy trajectory repricing,C1,2025-03-02,57554.79960046922,57554.79960046922,0.0
fixed existing policy trajectory repricing,C1,2025-03-03,55486.35615445391,55486.35615445391,0.0
fixed existing policy trajectory repricing,C1,2025-03-04,46742.71723803806,46742.71723803806,0.0
fixed existing policy trajectory repricing,C1,2025-03-05,52611.32421344979,52611.32421344979,0.0
fixed existing policy trajectory repricing,C1,2025-03-06,45914.04275828255,45914.04275828255,0.0
fixed existing policy trajectory repricing,C1,2025-03-07,18459.633174839477,18459.633174839477,0.0
fixed existing policy trajectory repricing,C1,2025-03-08,20529.34164417146,20529.34164417146,0.0
fixed existing policy trajectory repricing,C1,2025-03-09,46406.20919670456,46406.20919670456,0.0
fixed existing policy trajectory repricing,C1,2025-03-10,45512.73662635449,45512.73662635449,0.0
fixed existing policy trajectory repricing,C1,2025-03-11,39022.99329025206,39022.99329025206,0.0
fixed existing policy trajectory repricing,C1,2025-03-12,45985.0431062748,45985.0431062748,0.0
fixed existing policy trajectory repricing,C1,2025-03-13,42763.02573935455,42763.02573935455,0.0
fixed existing policy trajectory repricing,C1,2025-03-14,15605.574650696097,15605.574650696097,0.0
fixed existing policy trajectory repricing,C1,2025-03-15,15595.007109566626,15595.007109566626,0.0
fixed existing policy trajectory repricing,C1,2025-03-16,43243.499043300886,43243.499043300886,0.0
fixed existing policy trajectory repricing,C1,2025-03-17,39830.89158531286,39830.89158531286,0.0
fixed existing policy trajectory repricing,C1,2025-03-18,45148.08266155592,45148.08266155592,0.0
fixed existing policy trajectory repricing,C1,2025-03-19,37505.65446011708,37505.65446011708,0.0
fixed existing policy trajectory repricing,C1,2025-03-20,43049.94642193864,43049.94642193864,0.0
fixed existing policy trajectory repricing,C1,2025-03-21,15508.755900573757,15508.755900573757,0.0
fixed existing policy trajectory repricing,C1,2025-03-22,16404.846931664862,16404.846931664862,0.0
fixed existing policy trajectory repricing,C1,2025-03-23,42910.41821937482,42910.41821937482,0.0
fixed existing policy trajectory repricing,C1,2025-03-24,41384.46197798558,41384.46197798558,0.0
fixed existing policy trajectory repricing,C1,2025-03-25,44953.57036306791,44953.57036306791,0.0
fixed existing policy trajectory repricing,C1,2025-03-26,39063.19822578518,39063.19822578518,0.0
fixed existing policy trajectory repricing,C1,2025-03-27,41016.914466854745,41016.914466854745,0.0
fixed existing policy trajectory repricing,C1,2025-03-28,15528.25481795866,15528.25481795866,0.0
fixed existing policy trajectory repricing,C1,2025-03-29,14224.149526888814,14224.149526888814,0.0
fixed existing policy trajectory repricing,C1,2025-03-30,39431.77317139635,39431.77317139635,0.0
fixed existing policy trajectory repricing,C1,2025-03-31,36529.97673127657,36529.97673127657,0.0
fixed existing policy trajectory repricing,C1,2025-04-01,41740.1288720828,41740.1288720828,0.0
fixed existing policy trajectory repricing,C1,2025-04-02,40681.06246649328,40681.06246649328,0.0
fixed existing policy trajectory repricing,C1,2025-04-03,41892.90705999706,41892.90705999706,0.0
fixed existing policy trajectory repricing,C1,2025-04-04,14258.126260128103,14258.126260128103,0.0
fixed existing policy trajectory repricing,C1,2025-04-05,13913.99414002898,13913.99414002898,0.0
fixed existing policy trajectory repricing,C1,2025-04-06,38737.862385749104,38737.862385749104,0.0
fixed existing policy trajectory repricing,C1,2025-04-07,34676.35032679342,34676.35032679342,0.0
fixed existing policy trajectory repricing,C1,2025-04-08,41885.515843755005,41885.515843755005,0.0
fixed existing policy trajectory repricing,C1,2025-04-09,39685.651859497215,39685.651859497215,0.0
fixed existing policy trajectory repricing,C1,2025-04-10,37777.55531737282,37777.55531737282,0.0
fixed existing policy trajectory repricing,C1,2025-04-11,13329.841129091474,13329.841129091474,0.0
fixed existing policy trajectory repricing,C1,2025-04-12,14574.357281253868,14574.357281253868,0.0
fixed existing policy trajectory repricing,C1,2025-04-13,37131.75458221922,37131.75458221922,0.0
fixed existing policy trajectory repricing,C1,2025-04-14,39178.874195076736,39178.874195076736,0.0
fixed existing policy trajectory repricing,C1,2025-04-15,33539.67795034383,33539.67795034383,0.0
fixed existing policy trajectory repricing,C1,2025-04-16,36672.18001438782,36672.18001438782,0.0
fixed existing policy trajectory repricing,C1,2025-04-17,34206.75823753544,34206.75823753544,0.0
fixed existing policy trajectory repricing,C1,2025-04-18,13449.420677720422,13449.420677720422,0.0
fixed existing policy trajectory repricing,C1,2025-04-19,12492.053155111029,12492.053155111029,0.0
fixed existing policy trajectory repricing,C1,2025-04-20,33314.715902966665,33314.715902966665,0.0
fixed existing policy trajectory repricing,C1,2025-04-21,36628.40053532885,36628.40053532885,0.0
fixed existing policy trajectory repricing,C1,2025-04-22,32280.62061815639,32280.62061815639,0.0
fixed existing policy trajectory repricing,C1,2025-04-23,32315.981888982857,32315.981888982857,0.0
fixed existing policy trajectory repricing,C1,2025-04-24,31217.46063884421,31217.46063884421,0.0
fixed existing policy trajectory repricing,C1,2025-04-25,12655.21255640554,12655.21255640554,0.0
fixed existing policy trajectory repricing,C1,2025-04-26,12639.177108630967,12639.177108630967,0.0
fixed existing policy trajectory repricing,C1,2025-04-27,29814.6662724185,29814.6662724185,0.0
fixed existing policy trajectory repricing,C1,2025-04-28,38370.36368500743,38370.36368500743,0.0
fixed existing policy trajectory repricing,C1,2025-04-29,32516.74097704095,32516.74097704095,0.0
fixed existing policy trajectory repricing,C1,2025-04-30,30893.213219371617,30893.213219371617,0.0
fixed existing policy trajectory repricing,C1,2025-05-01,32401.58733384704,32401.58733384704,0.0
fixed existing policy trajectory repricing,C1,2025-05-02,14106.125844314269,14106.125844314269,0.0
fixed existing policy trajectory repricing,C1,2025-05-03,13268.603769615083,13268.603769615083,0.0
fixed existing policy trajectory repricing,C1,2025-05-04,35334.61083308458,35334.61083308458,0.0
fixed existing policy trajectory repricing,C1,2025-05-05,37870.953716782686,37870.953716782686,0.0
fixed existing policy trajectory repricing,C1,2025-05-06,32041.44188169292,32041.44188169292,0.0
fixed existing policy trajectory repricing,C1,2025-05-07,33377.52659989326,33377.52659989326,0.0
fixed existing policy trajectory repricing,C1,2025-05-08,40924.78474076961,40924.78474076961,0.0
fixed existing policy trajectory repricing,C1,2025-05-09,16575.95335724175,16575.95335724175,0.0
fixed existing policy trajectory repricing,C1,2025-05-10,14682.998077949538,14682.998077949538,0.0
fixed existing policy trajectory repricing,C1,2025-05-11,36420.558254500655,36420.558254500655,0.0
fixed existing policy trajectory repricing,C1,2025-05-12,34288.96106178204,34288.96106178204,0.0
fixed existing policy trajectory repricing,C1,2025-05-13,40304.61141308192,40304.61141308192,0.0
fixed existing policy trajectory repricing,C1,2025-05-14,40342.03250056685,40342.03250056685,0.0
fixed existing policy trajectory repricing,C1,2025-05-15,37534.87252122515,37534.87252122515,0.0
fixed existing policy trajectory repricing,C1,2025-05-16,16946.452858384528,16946.452858384528,0.0
fixed existing policy trajectory repricing,C1,2025-05-17,17175.46507820425,17175.46507820425,0.0
fixed existing policy trajectory repricing,C1,2025-05-18,39501.533118685205,39501.533118685205,0.0
fixed existing policy trajectory repricing,C1,2025-05-19,36970.0336189227,36970.0336189227,0.0
fixed existing policy trajectory repricing,C1,2025-05-20,35146.350747869845,35146.350747869845,0.0
fixed existing policy trajectory repricing,C1,2025-05-21,35014.36980915692,35014.36980915692,0.0
fixed existing policy trajectory repricing,C1,2025-05-22,36112.60370679967,36112.60370679967,0.0
fixed existing policy trajectory repricing,C1,2025-05-23,13990.690835357984,13990.690835357984,0.0
fixed existing policy trajectory repricing,C1,2025-05-24,14749.55644661676,14749.55644661676,0.0
fixed existing policy trajectory repricing,C1,2025-05-25,36742.4366304816,36742.4366304816,0.0
fixed existing policy trajectory repricing,C1,2025-05-26,37129.94270388362,37129.94270388362,0.0
fixed existing policy trajectory repricing,C1,2025-05-27,33251.01458344473,33251.01458344473,0.0
fixed existing policy trajectory repricing,C1,2025-05-28,36547.4154448182,36547.4154448182,0.0
fixed existing policy trajectory repricing,C1,2025-05-29,36029.04240646533,36029.04240646533,0.0
fixed existing policy trajectory repricing,C1,2025-05-30,14638.704510072916,14638.704510072916,0.0
fixed existing policy trajectory repricing,C1,2025-05-31,17713.95595589956,17713.95595589956,0.0
fixed existing policy trajectory repricing,C1,2025-06-01,46546.39910056213,46546.39910056213,0.0
fixed existing policy trajectory repricing,C1,2025-06-02,48653.50191359471,48653.50191359471,0.0
fixed existing policy trajectory repricing,C1,2025-06-03,44693.57174891496,44693.57174891496,0.0
fixed existing policy trajectory repricing,C1,2025-06-04,51522.83000616077,51522.83000616077,0.0
fixed existing policy trajectory repricing,C1,2025-06-05,42530.28351496518,42530.28351496518,0.0
fixed existing policy trajectory repricing,C1,2025-06-06,19532.804356479643,19532.804356479643,0.0
fixed existing policy trajectory repricing,C1,2025-06-07,19499.034078725865,19499.034078725865,0.0
fixed existing policy trajectory repricing,C1,2025-06-08,49167.60994062965,49167.60994062965,0.0
fixed existing policy trajectory repricing,C1,2025-06-09,56691.2450317395,56691.2450317395,0.0
fixed existing policy trajectory repricing,C1,2025-06-10,54001.25377667503,54001.25377667503,0.0
fixed existing policy trajectory repricing,C1,2025-06-11,57053.206940300086,57053.206940300086,0.0
fixed existing policy trajectory repricing,C1,2025-06-12,53380.35707732775,53380.35707732775,0.0
fixed existing policy trajectory repricing,C1,2025-06-13,24279.34899002338,24279.34899002338,0.0
fixed existing policy trajectory repricing,C1,2025-06-14,23655.167279839938,23655.167279839938,0.0
fixed existing policy trajectory repricing,C1,2025-06-15,47467.18890017558,47467.18890017558,0.0
fixed existing policy trajectory repricing,C1,2025-06-16,52942.06952691693,52942.06952691693,0.0
fixed existing policy trajectory repricing,C1,2025-06-17,51147.544617623855,51147.544617623855,0.0
fixed existing policy trajectory repricing,C1,2025-06-18,53878.72748533533,53878.72748533533,0.0
fixed existing policy trajectory repricing,C1,2025-06-19,48942.76024969118,48942.76024969118,0.0
fixed existing policy trajectory repricing,C1,2025-06-20,22391.74998190437,22391.74998190437,0.0
fixed existing policy trajectory repricing,C1,2025-06-21,22474.1413510531,22474.1413510531,0.0
fixed existing policy trajectory repricing,C1,2025-06-22,42709.64396584818,42709.64396584818,0.0
fixed existing policy trajectory repricing,C1,2025-06-23,50285.488608038,50285.488608038,0.0
fixed existing policy trajectory repricing,C1,2025-06-24,55584.02750284023,55584.02750284023,0.0
fixed existing policy trajectory repricing,C1,2025-06-25,51391.53570692203,51391.53570692203,0.0
fixed existing policy trajectory repricing,C1,2025-06-26,48380.55535666573,48380.55535666573,0.0
fixed existing policy trajectory repricing,C1,2025-06-27,22295.881944080415,22295.881944080415,0.0
fixed existing policy trajectory repricing,C1,2025-06-28,22005.847846273755,22005.847846273755,0.0
fixed existing policy trajectory repricing,C1,2025-06-29,43544.21616281541,43544.21616281541,0.0
fixed existing policy trajectory repricing,C1,2025-06-30,50182.6049995466,50182.6049995466,0.0
fixed existing policy trajectory repricing,C1,2025-07-01,44816.21591862537,44816.21591862537,0.0
fixed existing policy trajectory repricing,C1,2025-07-02,41521.824040726366,41521.824040726366,0.0
fixed existing policy trajectory repricing,C1,2025-07-03,53138.73489600359,53138.73489600359,0.0
fixed existing policy trajectory repricing,C1,2025-07-04,21616.776843379663,21616.776843379663,0.0
fixed existing policy trajectory repricing,C1,2025-07-05,19345.431305126247,19345.431305126247,0.0
fixed existing policy trajectory repricing,C1,2025-07-06,44182.25639262297,44182.25639262297,0.0
fixed existing policy trajectory repricing,C1,2025-07-07,43980.42940081144,43980.42940081144,0.0
fixed existing policy trajectory repricing,C1,2025-07-08,59983.2832907558,59983.2832907558,0.0
fixed existing policy trajectory repricing,C1,2025-07-09,55826.19115477093,55826.19115477093,0.0
fixed existing policy trajectory repricing,C1,2025-07-10,53719.47541067276,53719.47541067276,0.0
fixed existing policy trajectory repricing,C1,2025-07-11,31713.684886206607,31713.684886206607,0.0
fixed existing policy trajectory repricing,C1,2025-07-12,29809.023764281177,29809.023764281177,0.0
fixed existing policy trajectory repricing,C1,2025-07-13,57528.256070723226,57528.256070723226,0.0
fixed existing policy trajectory repricing,C1,2025-07-14,56100.78464186803,56100.78464186803,0.0
fixed existing policy trajectory repricing,C1,2025-07-15,58194.42020456877,58194.42020456877,0.0
fixed existing policy trajectory repricing,C1,2025-07-16,53923.67182610374,53923.67182610374,0.0
fixed existing policy trajectory repricing,C1,2025-07-17,49960.06288805834,49960.06288805834,0.0
fixed existing policy trajectory repricing,C1,2025-07-18,33893.45457082235,33893.45457082235,0.0
fixed existing policy trajectory repricing,C1,2025-07-19,27822.220918459545,27822.220918459545,0.0
fixed existing policy trajectory repricing,C1,2025-07-20,60981.0817625352,60981.0817625352,0.0
fixed existing policy trajectory repricing,C1,2025-07-21,65646.13113112265,65646.13113112265,0.0
fixed existing policy trajectory repricing,C1,2025-07-22,50311.61240283614,50311.61240283614,0.0
fixed existing policy trajectory repricing,C1,2025-07-23,60564.56277994339,60564.56277994339,0.0
fixed existing policy trajectory repricing,C1,2025-07-24,64824.30421652342,64824.30421652342,0.0
fixed existing policy trajectory repricing,C1,2025-07-25,28866.79500871288,28866.79500871288,0.0
fixed existing policy trajectory repricing,C1,2025-07-26,28623.39387187996,28623.39387187996,0.0
fixed existing policy trajectory repricing,C1,2025-07-27,54590.302755090364,54590.302755090364,0.0
fixed existing policy trajectory repricing,C1,2025-07-28,64597.7975794729,64597.7975794729,0.0
fixed existing policy trajectory repricing,C1,2025-07-29,51396.83824822657,51396.83824822657,0.0
fixed existing policy trajectory repricing,C1,2025-07-30,52403.05257357816,52403.05257357816,0.0
fixed existing policy trajectory repricing,C1,2025-07-31,48700.036392500406,48700.036392500406,0.0
fixed existing policy trajectory repricing,C1,2025-08-01,25286.94765606809,25286.94765606809,0.0
fixed existing policy trajectory repricing,C1,2025-08-02,33460.18547327862,33460.18547327862,0.0
fixed existing policy trajectory repricing,C1,2025-08-03,40210.70225209501,40210.70225209501,0.0
fixed existing policy trajectory repricing,C1,2025-08-04,56522.42901317756,56522.42901317756,0.0
fixed existing policy trajectory repricing,C1,2025-08-05,53305.32250138244,53305.32250138244,0.0
fixed existing policy trajectory repricing,C1,2025-08-06,60417.45559791676,60417.45559791676,0.0
fixed existing policy trajectory repricing,C1,2025-08-07,51025.00861843423,51025.00861843423,0.0
fixed existing policy trajectory repricing,C1,2025-08-08,28807.1307803457,28807.1307803457,0.0
fixed existing policy trajectory repricing,C1,2025-08-09,23228.2908754936,23228.2908754936,0.0
fixed existing policy trajectory repricing,C1,2025-08-10,47046.24390711069,47046.24390711069,0.0
fixed existing policy trajectory repricing,C1,2025-08-11,46161.92192949307,46161.92192949307,0.0
fixed existing policy trajectory repricing,C1,2025-08-12,53719.37114837465,53719.37114837465,0.0
fixed existing policy trajectory repricing,C1,2025-08-13,52329.08909764124,52329.08909764124,0.0
fixed existing policy trajectory repricing,C1,2025-08-14,54507.08890216184,54507.08890216184,0.0
fixed existing policy trajectory repricing,C1,2025-08-15,24996.10341752964,24996.10341752964,0.0
fixed existing policy trajectory repricing,C1,2025-08-16,26642.256021860336,26642.256021860336,0.0
fixed existing policy trajectory repricing,C1,2025-08-17,47136.08953104028,47136.08953104028,0.0
fixed existing policy trajectory repricing,C1,2025-08-18,49150.93463476831,49150.93463476831,0.0
fixed existing policy trajectory repricing,C1,2025-08-19,54696.40104345029,54696.40104345029,0.0
fixed existing policy trajectory repricing,C1,2025-08-20,58981.784468055375,58981.784468055375,0.0
fixed existing policy trajectory repricing,C1,2025-08-21,46945.99697046703,46945.99697046703,0.0
fixed existing policy trajectory repricing,C1,2025-08-22,23701.13637088696,23701.13637088696,0.0
fixed existing policy trajectory repricing,C1,2025-08-23,28598.71408488488,28598.71408488488,0.0
fixed existing policy trajectory repricing,C1,2025-08-24,43764.87266573095,43764.87266573095,0.0
fixed existing policy trajectory repricing,C1,2025-08-25,63689.49144305718,63689.49144305718,0.0
fixed existing policy trajectory repricing,C1,2025-08-26,47662.72082151376,47662.72082151376,0.0
fixed existing policy trajectory repricing,C1,2025-08-27,55053.73894355637,55053.73894355637,0.0
fixed existing policy trajectory repricing,C1,2025-08-28,43563.62903721404,43563.62903721404,0.0
fixed existing policy trajectory repricing,C1,2025-08-29,28436.02855522561,28436.02855522561,0.0
fixed existing policy trajectory repricing,C1,2025-08-30,26106.91525663448,26106.91525663448,0.0
fixed existing policy trajectory repricing,C1,2025-08-31,45562.68959107795,45562.68959107795,0.0
fixed existing policy trajectory repricing,C1,2025-09-01,51119.21672499863,51119.21672499863,0.0
fixed existing policy trajectory repricing,C1,2025-09-02,45187.15225967256,45187.15225967256,0.0
fixed existing policy trajectory repricing,C1,2025-09-03,50509.305519746325,50509.305519746325,0.0
fixed existing policy trajectory repricing,C1,2025-09-04,49805.305450196334,49805.305450196334,0.0
fixed existing policy trajectory repricing,C1,2025-09-05,23759.3582686917,23759.3582686917,0.0
fixed existing policy trajectory repricing,C1,2025-09-06,22120.77073987676,22120.77073987676,0.0
fixed existing policy trajectory repricing,C1,2025-09-07,40685.86478177757,40685.86478177757,0.0
fixed existing policy trajectory repricing,C1,2025-09-08,35919.15487946205,35919.15487946205,0.0
fixed existing policy trajectory repricing,C1,2025-09-09,33900.05235739174,33900.05235739174,0.0
fixed existing policy trajectory repricing,C1,2025-09-10,39923.47418054946,39923.47418054946,0.0
fixed existing policy trajectory repricing,C1,2025-09-11,37567.49388164285,37567.49388164285,0.0
fixed existing policy trajectory repricing,C1,2025-09-12,16683.530997158578,16683.530997158578,0.0
fixed existing policy trajectory repricing,C1,2025-09-13,15532.687558964106,15532.687558964106,0.0
fixed existing policy trajectory repricing,C1,2025-09-14,41290.83358471726,41290.83358471726,0.0
fixed existing policy trajectory repricing,C1,2025-09-15,38322.75786100347,38322.75786100347,0.0
fixed existing policy trajectory repricing,C1,2025-09-16,42529.208506117895,42529.208506117895,0.0
fixed existing policy trajectory repricing,C1,2025-09-17,42554.69270077296,42554.69270077296,0.0
fixed existing policy trajectory repricing,C1,2025-09-18,36441.70311669439,36441.70311669439,0.0
fixed existing policy trajectory repricing,C1,2025-09-19,17234.558088907143,17234.558088907143,0.0
fixed existing policy trajectory repricing,C1,2025-09-20,18084.37263877981,18084.37263877981,0.0
fixed existing policy trajectory repricing,C1,2025-09-21,39910.41924898275,39910.41924898275,0.0
fixed existing policy trajectory repricing,C1,2025-09-22,45470.77604218972,45470.77604218972,0.0
fixed existing policy trajectory repricing,C1,2025-09-23,43435.736744260175,43435.736744260175,0.0
fixed existing policy trajectory repricing,C1,2025-09-24,39924.4417399597,39924.4417399597,0.0
fixed existing policy trajectory repricing,C1,2025-09-25,42866.69744849525,42866.69744849525,0.0
fixed existing policy trajectory repricing,C1,2025-09-26,17983.3437112404,17983.3437112404,0.0
fixed existing policy trajectory repricing,C1,2025-09-27,18484.71840029896,18484.71840029896,0.0
fixed existing policy trajectory repricing,C1,2025-09-28,42069.17539820329,42069.17539820329,0.0
fixed existing policy trajectory repricing,C1,2025-09-29,44743.29411521005,44743.29411521005,0.0
fixed existing policy trajectory repricing,C1,2025-09-30,44659.61067275391,44659.61067275391,0.0
fixed existing policy trajectory repricing,C1,2025-10-01,37875.408230885536,37875.408230885536,0.0
fixed existing policy trajectory repricing,C1,2025-10-02,46069.90281027843,46069.90281027843,0.0
fixed existing policy trajectory repricing,C1,2025-10-03,16588.11935426297,16588.11935426297,0.0
fixed existing policy trajectory repricing,C1,2025-10-04,17556.053472863776,17556.053472863776,0.0
fixed existing policy trajectory repricing,C1,2025-10-05,44632.74997610879,44632.74997610879,0.0
fixed existing policy trajectory repricing,C1,2025-10-06,38565.11890119659,38565.11890119659,0.0
fixed existing policy trajectory repricing,C1,2025-10-07,40291.13781105022,40291.13781105022,0.0
fixed existing policy trajectory repricing,C1,2025-10-08,36078.78909821356,36078.78909821356,0.0
fixed existing policy trajectory repricing,C1,2025-10-09,42871.545290092894,42871.545290092894,0.0
fixed existing policy trajectory repricing,C1,2025-10-10,17555.937042696747,17555.937042696747,0.0
fixed existing policy trajectory repricing,C1,2025-10-11,16628.04754334457,16628.04754334457,0.0
fixed existing policy trajectory repricing,C1,2025-10-12,39489.91614468375,39489.91614468375,0.0
fixed existing policy trajectory repricing,C1,2025-10-13,43643.0810342174,43643.0810342174,0.0
fixed existing policy trajectory repricing,C1,2025-10-14,44558.86787486762,44558.86787486762,0.0
fixed existing policy trajectory repricing,C1,2025-10-15,45127.70902329384,45127.70902329384,0.0
fixed existing policy trajectory repricing,C1,2025-10-16,41888.931540963895,41888.931540963895,0.0
fixed existing policy trajectory repricing,C1,2025-10-17,16404.296874995784,16404.296874995784,0.0
fixed existing policy trajectory repricing,C1,2025-10-18,17992.851653427562,17992.851653427562,0.0
fixed existing policy trajectory repricing,C1,2025-10-19,41352.838886508565,41352.838886508565,0.0
fixed existing policy trajectory repricing,C1,2025-10-20,47751.29997755513,47751.29997755513,0.0
fixed existing policy trajectory repricing,C1,2025-10-21,48419.62323383481,48419.62323383481,0.0
fixed existing policy trajectory repricing,C1,2025-10-22,43358.351935551626,43358.351935551626,0.0
fixed existing policy trajectory repricing,C1,2025-10-23,51905.62897491608,51905.62897491608,0.0
fixed existing policy trajectory repricing,C1,2025-10-24,18034.656806597653,18034.656806597653,0.0
fixed existing policy trajectory repricing,C1,2025-10-25,17892.335414162244,17892.335414162244,0.0
fixed existing policy trajectory repricing,C1,2025-10-26,46903.8251799547,46903.8251799547,0.0
fixed existing policy trajectory repricing,C1,2025-10-27,44247.98013230713,44247.98013230713,0.0
fixed existing policy trajectory repricing,C1,2025-10-28,42693.14193213329,42693.14193213329,0.0
fixed existing policy trajectory repricing,C1,2025-10-29,50921.98254055373,50921.98254055373,0.0
fixed existing policy trajectory repricing,C1,2025-10-30,43288.45560652974,43288.45560652974,0.0
fixed existing policy trajectory repricing,C1,2025-10-31,21031.514129901927,21031.514129901927,0.0
fixed existing policy trajectory repricing,C1,2025-11-01,18405.65558717203,18405.65558717203,0.0
fixed existing policy trajectory repricing,C1,2025-11-02,47816.30125089139,47816.30125089139,0.0
fixed existing policy trajectory repricing,C1,2025-11-03,52953.128624233526,52953.128624233526,0.0
fixed existing policy trajectory repricing,C1,2025-11-04,47821.91021997254,47821.91021997254,0.0
fixed existing policy trajectory repricing,C1,2025-11-05,52662.938682748616,52662.938682748616,0.0
fixed existing policy trajectory repricing,C1,2025-11-06,51509.98163857825,51509.98163857825,0.0
fixed existing policy trajectory repricing,C1,2025-11-07,19184.574969469508,19184.574969469508,0.0
fixed existing policy trajectory repricing,C1,2025-11-08,20102.22046011194,20102.22046011194,0.0
fixed existing policy trajectory repricing,C1,2025-11-09,50356.62987836234,50356.62987836234,0.0
fixed existing policy trajectory repricing,C1,2025-11-10,52184.38071944797,52184.38071944797,0.0
fixed existing policy trajectory repricing,C1,2025-11-11,53507.470995899006,53507.470995899006,0.0
